MLA_horizon_id,strat_height_m,source,T_C,T_se_C,weight
PK95-SC-246,520,IPL,41.34,2.9364263995543967,0.11597430009509897
PK95-SC-242,590,IPL,53.8,1.986956015353485,0.25329317815101265
PK95-SC-279,680,IPL,51,1.7000000000000028,0.3460207612456736
PK95-SC-187,700,IPL,33.7,3.8,0.06925207756232687
PK95-SC-165,820,IPL,28.85,1.738054467884518,0.3310344827586205
PK95-SC-185,940,IPL,29.533333333333335,1.4437605218471812,0.4797441364605543
PK95-SC-179,1080,IPL,31.02,2.5419284018240953,0.15476522115950106
PK95-SC-92,1210,IPL,28.6,2.227853974867594,0.20147750167897902
SNELL-SC-188,1220,Snell,31.4,6.1,0.02687449610319807
SNELL-SC-62,1305,Snell,31.2,4.3,0.05408328826392645
PK95-SC-118up,1325,IPL,36.75,1.5945218719101983,0.39331366764995035
PK95-SC-176,1355,IPL,42.35,2.3500000000000014,0.1810774105930283
PK95-SC-50,1425,IPL,36.13333333333333,1.6333333333333333,0.3748438150770512
PB-00-03-08,1494.4,IPL,24.6,0.700000000000001,2.0408163265306065
PB-00-03-08,1494.4,CU,16.8,2.3,0.18903591682419663
PK95-SC-23,1495,IPL,34.03333333333333,2.318284806585343,0.18606574322927444
PK95-SC-80-n1,1495,IPL,23.35,7.349999999999999,0.018510805682817353
PK95-SC-80-n2,1495,IPL,23.35,2.25,0.19753086419753085
PB-00-03-10,1495.4,IPL,26.3,2.6999999999999993,0.13717421124828538
PB-00-03-10,1495.4,CU,29.6,1.7,0.34602076124567477
PB-00-03-11,1498.5,CU,27.7,2.1,0.22675736961451246
PB-00-03-13,1500.3,CU,28.2,1.8,0.30864197530864196
PB-00-03-14,1504.9,CU,31.8,1.9,0.2770083102493075
PB-00-03-16,1507.4,IPL,32.3,1.4364307617610157,0.48465266558966114
PB-00-03-16,1507.4,CU,34.4,1.8,0.30864197530864196
PB-00-03-17,1507.8,CU,36.6,2.4,0.1736111111111111
PB-00-01-07,1508.7,CU,33.4,1.9,0.2770083102493075
PB-00-03-20,1512.3,CU,35.3,1.9,0.2770083102493075
SNELL-SC-351-n1,1520,Snell,40.4,6.4,0.024414062499999997
PB-00-02-02,1520.5,Snell,36.8,2.5,0.16
PK95-SC-27,1525,IPL,43.333333333333336,3.313675367993136,0.0910709949000243
PB-00-02-07D,1526.3,CU,32.4,2.2,0.20661157024793386
PB-00-02-09L,1530.5,CU,27.2,1.8,0.30864197530864196
PB-00-02-19,1545.1,CU,25.1,2.5,0.16
PB-00-02-21,1549,CU,31.7,1.986956015353485,0.25329317815101265
PK95-SC-4,1570,IPL,35.150000000000006,1.0500000000000007,0.9070294784580486
PB-00-04-14,1574.7,IPL,24.6,0.9000000000000002,1.2345679012345674
PB-00-04-14,1574.7,CU,22.4,1.6,0.39062499999999994
PB-00-04-16,1594.2,IPL,20.166666666666668,2.0739120307069703,0.2324980625161458
PB-00-04-16,1594.2,CU,17.5,1.7,0.34602076124567477
PK95-SC-43,1600,IPL,25.7,1.8583146486355135,0.28957528957528966
SNELL-SC-15,1630,Snell,36.9,3.2,0.09765624999999999
PK95-SC-133,1750,IPL,22.1,0.5,4
SNELL-SC-33,1840,Snell,26.8,5.2,0.036982248520710054
SNELL-SC-64,1970,Snell,36.2,1.5,0.4444444444444444
SNELL-SC-295,2240,Snell,35.6,1.8,0.30864197530864196
