MLA_horizon_id,strat_height_m,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C
PK95-SC-246,520,41.34,2.9364263995543967,1,IPL,48.81999999999999
PK95-SC-242,590,56.29999999999999,2.5,1,IPL,48.805
PK95-SC-279,680,48.775,1.471606265276144,1,IPL,49.791666666666664
PK95-SC-187,700,44.300000000000004,6.314005596027507,1,IPL,40.605000000000004
PK95-SC-165,820,28.74,1.3507775538555566,1,IPL,34.19111111111111
PK95-SC-185,940,29.53333333333334,1.4437605218471812,1,IPL,29.764444444444447
PK95-SC-179,1080,31.02,2.5419284018240953,1,IPL,29.71777777777778
PK95-SC-92,1210,28.6,2.227853974867594,1,IPL,30.34
SNELL-SC-188,1280,31.399999999999995,6.1,1,Snell,30.4
SNELL-SC-62,1305,31.2,4.3,1,Snell,33.11666666666667
PK95-SC-118up,1325,36.75,1.5945218719101983,1,IPL,38.1
PK95-SC-176,1355,46.35,2.997915942784253,1,IPL,39.74444444444445
PK95-SC-50,1425,36.13333333333333,1.6333333333333333,1,IPL,35.47402921953095
PB-00-03-08,1494.4,23.938754325259513,0.6696717163002017,2,"CU, IPL",31.368473663975394
PK95-SC-23,1495,34.03333333333333,2.318284806585343,1,IPL,27.10736255286428
PK95-SC-80-n1,1495,23.35,7.349999999999998,1,IPL,26.91111111111111
PK95-SC-80-n2,1495,23.35,2.25,1,IPL,25.121054354944334
PB-00-03-10,1495.4,28.663163064833004,1.438595828152576,2,"CU, IPL",26.571054354944334
PB-00-03-11,1498.5,27.7,2.1,1,CU,28.187721021611
PB-00-03-13,1500.3,28.199999999999996,1.8,1,CU,29.23333333333333
PB-00-03-14,1504.9,31.799999999999997,1.9,1,CU,31.03901110412738
PB-00-03-16,1507.4,33.11703331238215,1.12274916252965,2,"CU, IPL",33.83901110412738
PB-00-03-17,1507.8,36.6,2.4,1,CU,34.37234443746072
PB-00-01-07,1508.7,33.4,1.9,1,CU,35.1
PB-00-03-20,1512.3,35.3,1.9,1,CU,36.36666666666667
SNELL-SC-351-n1,1520,40.4,6.4,1,Snell,37.5
PB-00-02-02,1520.5,36.8,2.5,1,Snell,39.904761904761905
PK95-SC-27,1525,42.51428571428571,2.9178782711830484,1,IPL,37.238095238095234
PB-00-02-07D,1526.3,32.4,2.2,1,CU,39.1047619047619
PK95-SC-6,1530,42.4,2.0869560153534854,1,IPL,34
PB-00-02-09L,1530.5,27.200000000000003,1.8,1,CU,31.566666666666666
PB-00-02-19,1545.1,25.099999999999998,2.5,1,CU,28
PB-00-02-21,1549,31.7,2.0869560153534854,1,CU,37.05
PK95-SC-4,1570,54.35,11.1091928899748,1,IPL,36.70707220573689
PB-00-04-14,1574.7,24.071216617210684,0.7844179834120945,2,"CU, IPL",32.33097002197093
PB-00-04-16,1594.2,18.571693448702103,1.314744167117351,2,"CU, IPL",22.78097002197093
PK95-SC-43,1600,25.7,1.8583146486355135,1,IPL,27.057231149567368
SNELL-SC-15,1630,36.9,3.2,1,Snell,34.766666666666666
PK95-SC-160,1720,41.7,1.873499399519519,1,IPL,33.34166666666667
PK95-SC-133,1750,21.425,1.2058019461475975,1,IPL,31.288333333333334
PK95-SC-31,1760,30.74,2.1444346574330497,1,IPL,26.321666666666665
SNELL-SC-33,1840,26.8,5.2,1,Snell,29.796666666666667
PK95-SC-63,1910,31.850000000000005,1.7731798179165768,1,IPL,32.45
PK95-SC-3,1935,38.7,2.0869560153534854,1,IPL,35.583333333333336
SNELL-SC-64,1970,36.2,1.5,1,Snell,37.800000000000004
PK95-SC-111,2005,38.5,2.0869560153534854,1,IPL,30.6
PK95-SC-148lwr,2047,17.1,3.695041722813605,1,IPL,27.7
PK95-SC-303,2110,27.5,2.0869560153534854,1,IPL,26.733333333333334
SNELL-SC-295,2240,35.6,1.8,1,Snell,31.55
